Local time,Open,High,Low,Close,Volume
24.06.2021 01:00:00.000 GMT+0100,29.486,29.857,29.406,29.696,5946.1919
25.06.2021 01:00:00.000 GMT+0100,29.557,29.887,29.146,29.157,6019.2197
26.06.2021 01:00:00.000 GMT+0100,29.157,29.157,29.157,29.157,0
27.06.2021 01:00:00.000 GMT+0100,29.157,29.157,29.157,29.157,0
28.06.2021 01:00:00.000 GMT+0100,28.937,29.617,28.836,29.137,6564.2114
29.06.2021 01:00:00.000 GMT+0100,28.956,29.836,28.886,29.737,5544.207
30.06.2021 01:00:00.000 GMT+0100,29.987,30.167,29.177,29.426,9953.3496
01.07.2021 01:00:00.000 GMT+0100,29.126,29.407,28.896,28.977,4865.21
02.07.2021 01:00:00.000 GMT+0100,28.247,29.087,28.056,28.897,4946.2939
03.07.2021 01:00:00.000 GMT+0100,28.897,28.897,28.897,28.897,0
04.07.2021 01:00:00.000 GMT+0100,28.897,28.897,28.897,28.897,0
05.07.2021 01:00:00.000 GMT+0100,28.897,28.897,28.897,28.897,0
06.07.2021 01:00:00.000 GMT+0100,28.627,30.437,28.626,29.547,16686.5625
07.07.2021 01:00:00.000 GMT+0100,29.246,30.616,29.186,29.627,15973.6396
08.07.2021 01:00:00.000 GMT+0100,32.186,32.457,31.026,31.497,36497.0078
09.07.2021 01:00:00.000 GMT+0100,30.586,30.786,29.276,29.426,8497.4121
10.07.2021 01:00:00.000 GMT+0100,29.426,29.426,29.426,29.426,0
11.07.2021 01:00:00.000 GMT+0100,29.426,29.426,29.426,29.426,0
12.07.2021 01:00:00.000 GMT+0100,29.477,29.647,29.026,29.237,4633.2422
13.07.2021 01:00:00.000 GMT+0100,29.237,29.696,28.596,29.556,13247.5176
14.07.2021 01:00:00.000 GMT+0100,28.876,29.956,28.647,28.866,15562.0059
15.07.2021 01:00:00.000 GMT+0100,29.656,30.007,29.137,29.327,23598.1172
16.07.2021 01:00:00.000 GMT+0100,28.667,30.606,28.506,30.516,25623.3047
17.07.2021 01:00:00.000 GMT+0100,30.516,30.516,30.516,30.516,0
18.07.2021 01:00:00.000 GMT+0100,30.516,30.516,30.516,30.516,0
19.07.2021 01:00:00.000 GMT+0100,32.287,37.036,32.026,34.936,84931.8828
20.07.2021 01:00:00.000 GMT+0100,34.587,35.217,31.526,31.906,26447.0996
21.07.2021 01:00:00.000 GMT+0100,31.237,31.357,29.856,29.897,10126.5293
22.07.2021 01:00:00.000 GMT+0100,30.086,30.937,29.696,30.447,19208.7129
23.07.2021 01:00:00.000 GMT+0100,29.776,30.427,29.736,30.316,9522.2061
24.07.2021 01:00:00.000 GMT+0100,30.316,30.316,30.316,30.316,0
25.07.2021 01:00:00.000 GMT+0100,30.316,30.316,30.316,30.316,0
26.07.2021 01:00:00.000 GMT+0100,30.647,31.057,29.856,29.856,10629.5928
27.07.2021 01:00:00.000 GMT+0100,30.506,32.406,30.506,30.846,48565.3789
28.07.2021 01:00:00.000 GMT+0100,30.486,31.416,29.536,29.976,31183.0723
29.07.2021 01:00:00.000 GMT+0100,29.807,29.816,29.276,29.487,7885.54
30.07.2021 01:00:00.000 GMT+0100,30.516,30.587,29.516,30.246,19572.9043
31.07.2021 01:00:00.000 GMT+0100,30.246,30.246,30.246,30.246,0
01.08.2021 01:00:00.000 GMT+0100,30.246,30.246,30.246,30.246,0
02.08.2021 01:00:00.000 GMT+0100,29.827,31.527,29.736,31.347,23390.0332
03.08.2021 01:00:00.000 GMT+0100,30.867,31.707,29.796,29.806,24113.8008
04.08.2021 01:00:00.000 GMT+0100,30.377,30.467,29.476,29.737,16014.7236
05.08.2021 01:00:00.000 GMT+0100,29.466,29.526,29.006,29.027,4526.3818
06.08.2021 01:00:00.000 GMT+0100,28.717,28.927,28.256,28.286,8651.877
07.08.2021 01:00:00.000 GMT+0100,28.286,28.286,28.286,28.286,0
08.08.2021 01:00:00.000 GMT+0100,28.286,28.286,28.286,28.286,0
09.08.2021 01:00:00.000 GMT+0100,28.247,28.537,27.766,27.966,4930.6602
10.08.2021 01:00:00.000 GMT+0100,27.676,27.917,27.226,27.507,8971.667
11.08.2021 01:00:00.000 GMT+0100,27.266,27.517,26.666,26.776,6655.582
12.08.2021 01:00:00.000 GMT+0100,26.907,27.037,25.936,26.206,5470.002
