Local time,Open,High,Low,Close,Volume
13.06.2021 01:00:00.000 GMT+0100,34466.299,34498.299,34462.209,34490.239,0.4592
14.06.2021 01:00:00.000 GMT+0100,34489.699,34559.599,34202.279,34353.239,18.7426
15.06.2021 01:00:00.000 GMT+0100,34352.499,34474.279,34197.699,34283.739,20.7592
16.06.2021 01:00:00.000 GMT+0100,34284.799,34327.499,33907.279,33919.759,24.4675
17.06.2021 01:00:00.000 GMT+0100,33920.219,34087.299,33619.499,33813.769,32.4091
18.06.2021 01:00:00.000 GMT+0100,33813.229,33871.759,33249.719,33286.759,28.5697
19.06.2021 01:00:00.000 GMT+0100,33286.759,33286.759,33286.759,33286.759,0
20.06.2021 01:00:00.000 GMT+0100,33226.299,33291.999,33190.699,33254.229,1.3374
21.06.2021 01:00:00.000 GMT+0100,33254.289,33944.739,33026.749,33904.279,35.1068
22.06.2021 01:00:00.000 GMT+0100,33904.759,34042.299,33740.759,33977.799,25.0925
23.06.2021 01:00:00.000 GMT+0100,33977.699,34077.299,33867.199,33923.209,21.8863
24.06.2021 01:00:00.000 GMT+0100,33922.769,34326.299,33919.799,34313.759,19.3906
25.06.2021 01:00:00.000 GMT+0100,34313.999,34501.289,34246.509,34468.999,17.3106
26.06.2021 01:00:00.000 GMT+0100,34468.999,34468.999,34468.999,34468.999,0
27.06.2021 01:00:00.000 GMT+0100,34511.767,34521.739,34484.209,34510.789,0.6623
28.06.2021 01:00:00.000 GMT+0100,34511.499,34514.789,34182.239,34278.729,18.7768
29.06.2021 01:00:00.000 GMT+0100,34277.299,34478.279,34228.239,34331.199,18.7529
30.06.2021 01:00:00.000 GMT+0100,34331.799,34578.199,34123.509,34569.289,21.5336
01.07.2021 01:00:00.000 GMT+0100,34568.699,34662.799,34488.269,34612.719,20.8458
02.07.2021 01:00:00.000 GMT+0100,34611.259,34821.759,34602.069,34759.789,18.2736
03.07.2021 01:00:00.000 GMT+0100,34759.789,34759.789,34759.789,34759.789,0
04.07.2021 01:00:00.000 GMT+0100,34765.217,34776.769,34739.729,34746.279,0.4118
05.07.2021 01:00:00.000 GMT+0100,34747.499,34852.499,34692.209,34831.239,8.4971
06.07.2021 01:00:00.000 GMT+0100,34830.999,34858.789,34352.719,34495.299,22.5896
07.07.2021 01:00:00.000 GMT+0100,34494.279,34706.289,34432.749,34677.199,24.1996
08.07.2021 01:00:00.000 GMT+0100,34677.699,34690.279,34110.519,34389.709,36.597
09.07.2021 01:00:00.000 GMT+0100,34389.789,34893.289,34250.239,34871.789,24.8382
10.07.2021 01:00:00.000 GMT+0100,34871.789,34871.789,34871.789,34871.789,0
11.07.2021 01:00:00.000 GMT+0100,34878.707,34903.499,34853.299,34892.259,0.4406
12.07.2021 01:00:00.000 GMT+0100,34892.287,35020.269,34656.539,35007.199,21.0605
13.07.2021 01:00:00.000 GMT+0100,35008.229,35030.799,34855.699,34860.269,22.0194
14.07.2021 01:00:00.000 GMT+0100,34858.269,35063.299,34785.039,34915.249,24.6638
15.07.2021 01:00:00.000 GMT+0100,34916.249,34995.497,34708.529,34916.499,26.603
16.07.2021 01:00:00.000 GMT+0100,34916.999,35092.579,34643.199,34645.749,24.7502
17.07.2021 01:00:00.000 GMT+0100,34645.749,34645.749,34645.749,34645.749,0
